step,hour_of_day,source_flow_Ls,leak_active,leak_node,pressure_15,pressure_35,pressure_101,pressure_105,pressure_113,pressure_201
286,23.5,831.7919,0,,34.712902,40.971737,30.962173,35.350082,43.857906,42.822777
287,23.75,831.76263,0,,34.715244,40.933258,30.934065,35.323887,43.82598,42.774208
288,0.0,824.8724,0,,29.39136,41.307884,31.940685,36.289604,44.501507,43.23287
289,0.25,824.5878,0,,29.435278,41.32777,31.964586,36.31454,44.523838,43.243717
290,0.5,824.30316,0,,29.479065,41.34862,31.989267,36.340214,44.54704,43.25621
291,0.75,824.01843,0,,29.522717,41.370403,32.01469,36.366573,44.571053,43.27019
292,1.0,819.805,0,,29.567472,42.088505,39.999348,41.118847,47.37671,43.73424
293,1.25,819.33997,0,,29.637562,42.153004,40.052006,41.179516,47.43886,43.78208
294,1.5,818.8762,0,,29.707394,42.21738,40.10454,41.240036,47.5009,43.830578
295,1.75,818.4131,0,,29.777056,42.281883,40.157097,41.300545,47.563007,43.880215
296,2.0,814.5412,0,,30.63379,42.95285,41.54485,42.389874,48.548225,44.62864
297,2.25,813.9193,0,,30.725664,43.049755,41.618736,42.474506,48.63891,44.720596
298,2.5,813.2988,0,,30.817312,43.14629,41.692196,42.558754,48.728794,44.812443
299,2.75,812.67975,0,,30.908726,43.24244,41.76544,42.64276,48.818382,44.904137
300,3.0,812.0691,0,,31.014585,43.31601,41.868393,42.741955,48.90952,44.93296
301,3.25,484.69843,0,,29.834202,42.386303,40.69989,41.3351,47.646362,44.04943
302,3.5,484.99478,0,,29.81606,42.3998,40.69412,41.326317,47.644962,44.060806
303,3.75,485.28357,0,,29.79847,42.41248,40.688347,41.31763,47.643353,44.071545
304,4.0,483.7635,0,,30.439741,42.802338,42.268177,42.448814,48.457256,44.672092
305,4.25,483.53336,0,,30.45522,42.845528,42.28781,42.470512,48.48577,44.719807
306,4.5,483.29153,0,,30.4714,42.888283,42.307697,42.49255,48.51441,44.767025
307,4.75,483.03894,0,,30.488216,42.93058,42.32778,42.514874,48.54313,44.813732
308,5.0,486.97354,0,,36.19204,42.802776,41.883587,42.158047,48.285133,44.618675
